,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
516,VP Data Scientist Lead - Marketing Analytics,$106K - $146K (Glassdoor est.),"JOB DESCRIPTION

Are you deeply curious marketing data scientist looking to lead analytical strategies to tie analytics to business results? This role may be an exciting opportunity for you.
As a Data Scientist Lead on the Consumer Bank Marketing Analytics team you will be responsible for leading measurement and driving the strategy of Chase’s Consumer Bank marketing campaigns. The results and learnings from these analyses, which seek to quantify both statistical and practical significance, are used for future campaigns and to optimize Chase’s multimillion dollar marketing spend.
Job Responsibilities
Own the analytics strategy and book of work for core cross line of business cross-sell marketing campaigns including regular campaign performance measurement, unstructured ad hoc analysis of customer behavior, experimental reads, and profitability analysis",4.0,"JPMorgan Chase & Co
4.0","Columbus, OH",10000+ Employees,1799.0,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
517,Career Consulting Data Scientist - National - College Program 2024,Employer Provided Salary:$83K,"WHO WE ARE
We’re Mercer – we believe in building brighter futures by redefining the world of work, reshaping retirement and investment outcomes, and unlocking real health and well-being. Mercer’s more than 25,000 employees are based in 44 countries and the firm operates in over 130 countries.
THE POSITION: CAREER CONSULTING DATA SCIENTIST
Mercer is uniquely qualified to help organizations design and execute sophisticated workforce strategies, whether it’s for a multinational organization or a local company attempting to grow within its market. We provide best-in-class consulting, rigorous analytics, and data-driven insights that help organizations make fact-based decisions.
The Workforce Strategy & Analytics practice is at the forefront of rapid advances in the fields of people analytics, strategic workforce planning, and diversity, equity & inclusion. Using approaches from data science, applied microeconomics, statistics, and I/O psychology, we help our clients unlock critical insights about their people and build evidence-based workforce strategies. Our team has been exploring relationships in workforce data for more than 25 years and continues to help organizations solve their most challenging human resource questions through statistical analyses.",3.9,"Mercer
3.9","Dallas, TX",10000+ Employees,1945.0,Subsidiary or Business Segment,Business Consulting,Management & Consulting,$1 to $5 billion (USD)
518,Data Scientist/Modeler II,$96K - $130K (Glassdoor est.),"Battelle delivers when others can’t. We conduct research and development, manage national laboratories, design and manufacture products and deliver critical services for our clients—whether they are a multi-national corporation, a small start-up or a government agency.

We recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.
Job Summary
We are currently seeking a Data Scientist/Modeler II. This position located in Columbus, OH.

Battelle’s Chemical, Biological, Radiological, Nuclear, and Explosives (CBRNE) Defense business line, in our National Security business unit, is currently seeking persons with knowledge of physical/mathematical phenomena and programming savvy. The Hazard Modeling Team within CBRNE Defense provides its customers with technical analyses as well as modeling capabilities to inform their preparedness and response planning efforts to mitigate risk to the United States or their company. Successful applicants will have the opportunity to make this Nation and Battelle’s clients safer and better prepared.",3.9,"Battelle
3.9","Columbus, OH",1001 to 5000 Employees,1929.0,Nonprofit Organization,Research & Development,Management & Consulting,$5 to $10 billion (USD)
519,Data Science Mentor,Employer Provided Salary:$25.00 - $38.00 Per Hour,"Job Description
Who We Are
At
Thinkful
, a Chegg Online Learning Service, we believe that if schools put in even half the amount of effort that students do the outcomes would be better for everyone. People would have a path to a fulfilling future, instead of being buried under debt. Employers would benefit from a workforce trained for today. And education could finally offer students a return on their investment of both money and time.

We put in outlandish amounts of effort to create an education that offers our students a guaranteed return on their investment. We partner with employers to create a world-class curriculum built for today. We go to the ends of the earth to find mentors who are the best of the best. We invest more in career services for our students than any of our peers. We work hard to be on the ground in the cities our students are. Simply put, no other school works as hard for its students as we do. Students enroll in Thinkful courses to gain the valuable technical and professional skills needed to take them from curious learners to employed technologists.",4.1,"Chegg
4.1",Remote,1001 to 5000 Employees,2005.0,Company - Public,Internet & Web Services,Information Technology,$500 million to $1 billion (USD)
520,Senior Data Scientist - Consumer Products,$115K - $164K (Glassdoor est.),"About us
Character’s mission is to give everyone on earth access to their own deeply personalized superintelligence that helps them live their best lives.
Achieving our mission will require solving ambitious technical challenges, including engineering, research, and design, and we are assembling a world-class team to do so. Our founding team includes AI pioneers from Google Brain and Meta Research whose research has led to major breakthroughs in natural language understanding and dialog applications such as Transformers and Google LaMDA.
Check out our beta to get a glimpse into the future.
We are seeking a highly skilled and experienced Data Scientist with a strong background in consumer products to join our dynamic team. Experience working with open-ended, user-generated content is a major plus.",1.0,Character.AI,"Palo Alto, CA",1 to 50 Employees,2021,Company - Private,,Developer of open-ended conversational applications,Unknown / Non-Applicable
523,"Senior Data Scientist, Machine Learning",Employer Provided Salary:$179K - $218K,"Rec Room is the best place to build and play games together. Players can chat, hang out, play in millions of rooms, or build something new to share with the world! We have a vibrant commercial ecosystem within Rec Room, and our goal is to enable creators to be rewarded for their work. Come join us on the ground floor to help optimize the ecosystem for both players and the business.
As a Senior Machine Learning Data Scientist, you'll be responsible for designing, developing, and implementing machine learning models to power our in-game store recommendations and serve users content that they'd find valuable. You'll be supporting creators in making a living on the platform, as well as playing a critical role in the success of Rec Room as a business.
WHAT YOU'LL DO:
Design, develop and implement production-facing ML models to deliver valuable commerce content to our users.",4.5,"Rec Room
4.5","Seattle, WA",51 to 200 Employees,2016.0,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable
524,"Senior Manager/Data Scientist, Alzheimer's Disease Data Initiative - - Limited Term Engagement",Employer Provided Salary:$112K - $120K,"Our mission is to catalyze innovations that solve global problems and improve the lives of the world's poorest people. We do this by incubating products, advocating for important causes, engaging with global organizations, and managing venture investments.
Gates Ventures is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
OVERVIEW
Gates Ventures' mission is to catalyze innovations that solve global problems and improve the lives of the world's poorest people. We do this by incubating products, advocating for important causes, engaging with global organizations, and managing venture investments. In addition, Gates Ventures employs team members that directly support non-profit organizations through formal service arrangements.",3.9,"Gates Ventures
3.9","Seattle, WA",Unknown,,Company - Private,Publishing,Media & Communication,Unknown / Non-Applicable
525,Sr Data Scientist- Media Analytics & Insights,$120K - $161K (Glassdoor est.),"Description
There’s no better time to be a Citizen! We are growing and looking to add to our Marketing Optimization team.
The Senior Data Scientist will be responsible for supporting a wide range of analytical functions, potentially including but not limited to data intelligence, analytical insights, machine learning, customer analytics, data management, campaign management, process improvement, and the development of statistical models, with the intent to measure and optimize marketing investments, identify new opportunities, enhance the customer experience, and provide strategic direction to stakeholders.
This role will be part of the Media Analytics & Insights team supporting Enterprise Marketing with end-to-end data and analytics solutions for media, including Paid Search, Paid Digital, Television, Radio, Print, Out of Home, and Owned Digital channels. This Senior Data Scientist will report within an Advanced Analytics team to enable collaboration, the sharing of analytical ideas, and the alignment of best practices.





At Citizens, you'll find a customer-centric culture built around helping our customers and giving back to our local communities. When you join our team, you are part of a supportive and collaborative workforce, with access to training and tools to accelerate your potential and maximize your career growth",3.7,"Citizens
3.7","Columbus, OH",10000+ Employees,1828.0,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD)
526,"Data Scientist/Senior Data Scientist, Insights & Analytics",Employer Provided Salary:$105K - $150K,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use. I further attest that all information I submit in my employment application is true to the best of my knowledge.
Job Description
Objectives:
Data Scientist/Senior Data Scientists within the Insights & Analytics team of the Applied Data Sciences & Learning organization will be accountable for driving the development of descriptive, predictive & prescriptive analytics to generate insights to solve challenging business problems. Data Scientists will work with multi-disciplinary teams to understand business needs and develop analytic & model outputs that are translatable into actionable business insights. This is a hands-on role, and the successful candidate must be comfortable working in an agile environment and capable of leading delivery at pace.
Boston, MA
Employee
Regular
Full time",4.0,"Takeda Pharmaceutical
4.0","Boston, MA",10000+ Employees,1781.0,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
529,Junior Data Scientist | TS/SCI,$71K - $111K (Glassdoor est.),"Connect Talent Solutions is a fast growing, innovative staffing firm offering direct placement, contract and contract to hire solutions. We are uniquely positioned and experienced to support your requirements from IT and engineering to general labor and customer service positions. At Connect, people are the center of our universe and we go to great lengths to ensure that our customers and candidates have the most enjoyable and informational hiring experience that will encourage and foster fruitful, long term relationships and careers.

Job Description:

As a Junior Data Scientist, you will work as part of a small team of data engineers, database developers and visualization specialists to analyze large sets of structured data, looking for anomalies and undiscovered correlations. You will combine analytic, Python, and R skills to discover and solve data problems obscured to the layman by the sheer volume of data, apply fuzzy matching and statistical analysis to find and deal with inaccurate data points or missing data, and work with data providers to correct their input feeds. You will use a variety of tools to profile and visualize data, developing reports, dashboards, and repeatable analyses for leadership.",5.0,"Connect Talent Solutions
5.0","Springfield, VA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
530,Data Scientist Engineering Modeler,$115K - $167K (Glassdoor est.),"Job description:
Thorough understanding of statistical modeling and classical, traditional optimization approaches and algorithms
Deep learning model experience that includes computer vision, NLP and GenAI/LLMs
Deep experience with innovative approaches to optimization, coupling systems and heuristic approaches supplemented by data science and statistical modeling
Innovative approaches and deep SME knowledge in supply chain, engineering solutions and modern DS approaches that include GenAI and LLMs for holistic solution frameworks
Exposure to physics-based first-principle modeling and engineering models/solutions
KEY RESPONSIBILITIES:",3.7,"Capgemini
3.7","Houston, TX",10000+ Employees,1967.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
531,Data Scientist,Employer Provided Salary:$73.00 - $76.00 Per Hour,"Pay rate range - $73/hr. to $76/hr. on W2
Hybrid role
Job Description:
seeking an experienced Data Scientist to join the Product, Data, and Technology team.
You will play a key role in analyzing critical business operations and developing state-of-the-art techniques to optimize and quantify the impact of complex business processes and decisions.
Key subject areas include advertising inventory forecasting and yield optimization, causal impact, and opportunity cost analysis.",4.1,"Intelliswift Software, Inc.
4.1","Culver City, CA",1001 to 5000 Employees,2001.0,Company - Private,Software Development,Information Technology,$100 to $500 million (USD)
532,Data Scientist/Developer for Big Data/Machine Learning R&D,$88K - $125K (Glassdoor est.),"D-Tech is constantly seeking new talented professionals with both management and engineering expertise to join our team. We believe that our most valuable assets and resources are the employees. We provide a challenging, supporting, and educational environment that enables individuals to maximize their professional potentials and advance their careers. In addition, our corporate policies promote a collaborative culture that supports active family life of our employees via flexible work schedule and tele-commute. We provide quality benefits to all employees, including:
100% company-paid health insurance
100% company-paid retirement plan
3 weeks Paid vacations and sick leave
10 holidays per calendar year
Educational assistance (colleges and professional training/certificates)",,D-Tech,"Herndon, VA",1 to 50 Employees,,Company - Public,,,Unknown / Non-Applicable
533,Director Data Science (AI solutions),Employer Provided Salary:$136K - $220K,"Company Description

Merkle is a leading data-driven, technology-enabled, global performance marketing agency that specializes in the delivery of unique, personalized customer experiences across platforms and devices. For more than 30 years, Fortune 1000 companies and leading nonprofit organizations have partnered with Merkle to maximize the value of their customer portfolios. The agency’s heritage in data, technology, and analytics forms the foundation for its unmatched skills in understanding consumer insights that drive people-based marketing strategies. Its combined strengths in performance media, customer experience, customer relationship management, loyalty, and enterprise marketing technology drive improved marketing results and competitive advantage. With 9,600+ employees, Merkle is headquartered in Columbia, Maryland, with 50+ additional offices throughout the US, EMEA, and APAC. In 2016, the agency joined the Dentsu Aegis Network. For more information, contact Merkle at 1-877-9-Merkle or visit www.merkleinc.com.",3.7,"Merkle
3.7",Maryland,5001 to 10000 Employees,1971.0,Company - Private,Advertising & Public Relations,Media & Communication,$500 million to $1 billion (USD)
534,Supply Chain - Data Scientist Co-Op - January 2024,$78K - $109K (Glassdoor est.),"Staples is business to business. You’re what binds us together.
We are searching for you: fresh talent with new ideas, innovation, passion and drive to bring to Staples. We have student and graduate opportunities where you’ll help businesses of all sizes to be more successful and productive while building a career fueled by purpose, people, and triumph. Whether you are looking for a summer internship, co-op, or an entry-level role, we’ll help you develop the technical and soft skills you need to thrive in the future.
This position is a part of the Staples, Inc. hybrid work model, 3 days in the office and 2 days remote.
**Must be a student enrolled at Northeastern University in order to be eligible for the Co-Op Program.**",3.3,"Staples
3.3","Framingham, MA",10000+ Employees,1986.0,Company - Private,Office Supply & Copy Stores,Retail & Wholesale,$10+ billion (USD)
535,"Senior Analyst, Data Scientist for Integrated Supply Chain",$82K - $107K (Glassdoor est.),"Requisition ID: 59728
ABOUT WHIRLPOOL CORPORATION
Whirlpool Corporation (NYSE: WHR) is committed to being the best global kitchen and laundry company, in constant pursuit of improving life at home. In an increasingly digital world, the company is driving purposeful innovation to meet the evolving needs of consumers through its iconic brand portfolio, including Whirlpool, KitchenAid, Maytag, Consul, Brastemp, Amana, Bauknecht, JennAir, Indesit, Yummly and InSinkErator. In 2022, the company reported approximately $20 billion in annual sales, 61,000 employees and 56 manufacturing and technology research centers. Additional information about the company can be found at WhirlpoolCorp.com.
This role in summary",4.0,"Whirlpool
4.0","Benton Harbor, MI",10000+ Employees,1911.0,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
538,Sr. Data Scientist (Strategic Insights),$141K - $188K (Glassdoor est.),"Why PlayStation?
PlayStation isn't just the Best Place to Play — it's also the Best Place to Work. Today, we're recognized as a global leader in entertainment producing The PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, acclaimed PlayStation software titles from PlayStation Studios, and more.
PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team.
The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.",4.0,"PlayStation Global
4.0","San Mateo, CA",5001 to 10000 Employees,1994.0,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$10+ billion (USD)
539,Software Engineer Lead - ML OPS Engineer,$110K - $154K (Glassdoor est.),"Job description:
Design and implement cloud solutions, build MLOps on cloud (AWS, Azure, or GCP)
Build CI/CD pipelines orchestration by GitLab CI, GitHub Actions, Circle CI, Airflow or similar tools
Data science model review, run the code refactoring and optimization, containerization, deployment, versioning, and monitoring of its quality
Data science models testing, validation and tests automation
Communicate with a team of data scientists, data engineers and architect, document the processes

Desired Qualification",3.7,"Capgemini
3.7","San Francisco, CA",10000+ Employees,1967.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
542,Data Scientist Co-Op,$92K - $131K (Glassdoor est.),"Data Scientist Co-Op




Your Tasks and Responsibilities

Independently develop algorithms in R and/or Python to clean, process, analyze and visualize large multivariate datasets (genotypic, environmental, and phenotypic);
Work closely with data science team and business partners to break down complex business problems to build feasible solutions that are impactful, accurate and validated;",3.9,"Bayer
3.9","Creve Coeur, MO",10000+ Employees,1863.0,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
543,"Data Scientist, Senior",Employer Provided Salary:$93K - $212K,"Job Description
Location:
Washington,DC,US
Remote Work:
Yes
Job Number:
R0179863

Data Scientist, Senior
The Opportunity:
Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $93,300.00 to $212,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees.",4.2,"Booz Allen Hamilton
4.2","Washington, DC",10000+ Employees,1914.0,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
544,Senior-Level Data Scientist,$86K - $127K (Glassdoor est.),"Cavan Solutions offers a vibrant culture and opportunity to work with a great team of experienced professionals on challenging and rewarding projects that bring value to our customers and the aviation community. We are a dynamic company growing to meet our customers' needs and excited to provide a strong career and bright future for those who join us.
We are proud to be an Equal Opportunity Employer. All employment is based on qualifications, merit, and business need without regard to race, color, religion, age, sex, disability, veteran status, marital status, national origin, sexual orientation, gender identity, or any other category protected by law.
At Cavan, we strive to support an environment and culture where our employees can thrive. A large part of that is benefits. With improvements and additions made annually, we have continued to build our benefit portfolio to promote career growth, health, wellness, and work-life balance.",5.0,"Cavan Solutions
5.0","Washington, DC",51 to 200 Employees,2016.0,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
545,Data Scientist (Remote),Employer Provided Salary:$118K,"Data Scientist (Remote)
Are you an experienced Data Scientist looking for a new challenge?
Do you value care management and quality improvement?
Are you motivated, energetic, and excited to become part of the Acentra Health team?
If so, you might be our next new team member!
Who we need:
The Data Scientist is responsible for leveraging analytical skills, statistical knowledge, and machine learning expertise to derive meaningful insights from complex health-related datasets. Collaborate with cross-functional teams and contribute to the development of data-driven solutions aimed at improving healthcare outcomes and decision-making processes.
Acentra Health is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran",3.1,"Acentra Health
3.1","Cary, NC",501 to 1000 Employees,1985.0,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
546,Sr Data Scientist,$105K - $148K (Glassdoor est.),"The Data Science team develops and deploys analytic solutions to equip stakeholders with data-based insights empowering them to effectively measure performance, establish improvement goals, comprehend relationships between variables, predict outcomes and make strategic decisions. The Sr. Data Scientist will be involved in all steps of the process including data gathering, cleaning, validation, analysis, modeling, visualization, and presentation - and will often be responsible for directing the technical work of others on the team as well as in other functions in the department or division. The Sr. Data Scientist acts as the primary expert for two or more technically advanced solutions as described in the responsibilities section below.
This is a remote position with occasional on-site meetings (Texas residency required).

Responsibilities:
Design workflow for and guide information systems experts to identify data sources, gather and validate necessary data. Work closely with senior operational and/or clinical experts to ensure that complex data content is complete, accurate and relevant. Intermediate knowledge related to database management is required. Intermediate proficiency in SQL or other data gathering technology and familiarity with Big Data concepts is strongly preferred. Introductory experience with Microsoft Visual Studio and SQL Server Management Studio is preferred.
Guide others and/or perform complex statistical analyses of data sets to identify performance status, trends over time and key drivers. Advanced knowledge of descriptive and inferential statistics with demonstrated proficiency in sampling theory, forecasting, regression, non-normal distributions and hypothesis testing is required. Advanced proficiency in a statistical software package (Minitab, JMP, Stata, QI Macros, Alteryx, SAS Enterprise Miner, etc.) is required.
Create, present and publish elegant graphical representations of analyses and key findings and their impact to strategic business indicators to a wide variety of stakeholders. Advanced proficiency in PowerPoint and a data visualization software package (Microstrategy, Power BI, SAS VA or Tableau) is required White paper or research paper publication experience strongly preferred. Public speaking experience required. Knowledge of basic color theory is preferred.
Participate in or lead quality/process improvement initiatives or other strategic programs as the voice of the data ensuring that data limitations, interpretation and insights are accurately comprehended by stakeholders and decision makers. Topics may include clinical, operational and/or financial domains. Familiarity with Lean Six Sigma and healthcare operations is strongly preferred. Financial acumen including ability to read and interpret financial statements is preferred.
Based on team and organizational needs, continuously develop advanced Data Science skills in one or more areas of data wrangling, statistical analysis, visualization and communications, artificial intelligence, machine learning, big data, etc.. Demonstrated ability to research and self-teach both technical and soft skills is required.
Act as the team's resident expert in two or more technically advanced analytic solutions such as GIS data mapping, complex visualization, process simulation, predictive modeling, machine learning, natural language processing, program evaluation and other specialties. Intermediate proficiency in programming languages such as R or Python (or similar) is required.
Guide the activities of junior team members. Mentor other peers in area of specialty to support their development. Teach statistical concepts and methods to various stakeholders as needed. Formal peer training experience required.
Work Experience
10+ years in data wrangling, analysis, visualization and advanced techniques (per above) required
Education
Four-year Bachelor's degree or equivalent experience Computer Science, Engineering (all types), Mathematics, Statistics, and Economics. Candidates with other STEM degrees such as core sciences (Physics, Chemistry, etc.) could be considered Required
Graduate or professional work or advanced degree; or equivalent experience Preferred
Licenses and Certifications

Machine Learning and/or Artificial Intelligence (or equivalent) Preferred
Lean Six Sigma Black Belt Preferred
SAS Enterprise Guide, Enterprise Miner, Visual Analytics, Developer, Predictive Modeling Preferred
About Us
Children’s Health values the role each member of our team plays in helping us make life better for children. We employ more than 7,500 people and provide rewarding career opportunities that help them reach their highest potential.
We also hold Magnet recognition from the American Nurses Credentialing Center for nursing excellence, we serve as the primary pediatric teaching facility for the University of Texas Southwestern Medical Center , and we are widely recognized for delivering high quality care .
Children’s Health has also been named one of the 150 Top Places to Work in Healthcare by Becker’s Healthcare for nine consecutive years. We invite you to learn more about Children’s Health.
Benefits

Children’s Health offers competitive pay, a comprehensive benefits program and opportunities for learning and career development. We promote a diverse and inclusive workplace, and our team members have a voice in their work through surveys and town halls.",4.2,"Children's Health
4.2","Dallas, TX",5001 to 10000 Employees,1913.0,Hospital,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD)
549,"Data Analyst, Senior",$118K - $160K (Glassdoor est.),"Requisition ID # 151757

Job Category: Business Operations / Strategy
Job Level: Individual Contributor
Business Unit: Electric Engineering
Work Type: Hybrid
Job Location: Oakland; Alameda; Antioch; Belmont; Benicia; Berkeley; Brentwood; Brisbane; Calistoga; Campbell; Capitola; Concord; Concord; Cupertino; Daly City; Danville; Dublin; Emeryville; Fairfield; Fremont; Gilroy; Guerneville; Half Moon Bay; Hayward; Livermore; Menlo Park; Millbrae; Milpitas; Monterey; Morgan Hill; Moss Landing; Mountain View; Napa; Newark; Novato; Oakley; Orinda; Palo Alto; Petaluma; Pittsburg; Pleasant Hill; Richmond; Sacramento; Salinas; San Bruno; San Carlos; San Francisco; San Francisco; San Jose; San Mateo; San Rafael; San Ramon; San Ramon; Santa Cruz; Santa Rosa; Sonoma; Stockton; Tracy; Vacaville; Vallejo; Walnut Creek; Watsonville

Department Overview
Electric Asset Management is responsible for the electric system engineering and planning, asset strategy, and risk management across transmission, distribution, and substation asset families. This centralized, risk-informed approach allows PG&E to manage electric risk, asset and system health, interconnections, and performance by using consistent standards, work methods, prioritization, and program sponsorship, while leveraging lessons learned from inspections and asset data to inform asset management decisions. The organization is accountable for asset planning and strategy, standards and work methods, and asset data management for Electric.

The Asset Knowledge Management (AKM) team, within Electric Asset Management, is responsible for the management, quality, and access of PG&E’s electric asset data. The team’s objective is to maximize the use and ensure the trustworthiness of PG&E’s critical electric data assets.

Position Summary
The Data & Analytics Product Development team is looking for a Senior level data analyst who develops, maintai/ analytics, and related data pipelines driving engineering and asset management improvements and insights. The individual in this role must have demonstrated success with leadership support, cross-functional products, respond to analytical requests, ability to communicate concepts to ns, enhances productsmanagers/ stakeholders/ sponsors across the organization, detailed oriented , and identifies gaps in data requirements.
In this role, you will work closely with fellow product developers, product managers, and partners throughout the Electric organization to understand their needs to develop valuable products and analytical reports.
Works on data pipelines, UAT, process improvement, and product development/ enhancement. Works on technical development phases: data engineering, analytics, and visualization/user interface. Interacts with technical and non-technical clients to resolve analysis and technical issues. Works with product managers, team members, clients, and senior leadership throughout the development cycle practicing continuous improvement

This position is hybrid, working from your remote office and your assigned work location based on business need. The a ssigned work location will be within the PG&E Service Territory.

PG&E is providing the salary range that the company in good faith believes it might pay for this position at the time of the job posting. This compensation range is specific to the locality of the job. The actual salary paid to an individual will be based on multiple factors, including, but not limited to, specific skills, education, licenses or certifications, experience, market value, geographic location, and internal equity. Although we estimate the successful candidate hired into this role will be placed towards the middle or entry point of the range, the decision will be made on a case-by-case basis related to these factors.

$102,000
$162,000

Job Responsibilities
Full stack Analytic Product Development, through ideation, pipeline, and user interfaces and documentation.
Develop robust and reliable analytics, including visualizations, within PG&E’s software development environment
Appropriately document data sources, and methodology
Collaborate with senior data analysts and data scientist on the team on data pipelines for products, ontology / product development, issues, projects or activities.
Collaborate with analytics platform owners to prioritize and drive development of scalable capabilities
Assesses business implications associated with inputs, methodologies, technical implementation, analytic procedures and processes, and advanced data analysis.
Performs analysis on complex data requiring customized reports and data and presents recommendations.
Creates shared process models, business objects, activity diagrams and technical and user documentation to effectively articulate multiple views of the business solutions that support technical architecture.
Analyzes data using various advanced tools to develop complex ad hoc reports, statistics, trends and profiles.
Demonstrates and uses broad expertise in data processing and data analysis and applies this knowledge to several different issues.
Designs data analysis to achieve business objectives, process data, analyze data, write clear and concise data findings and tailor communications to specific audiences. Creates automated data routines and processes for reporting and data delivery ensuring accurate data manipulation and data cleansing.
Develops comprehensive reports and communicates clear, concise and actionable data analyses for clients.
Manages complex data analysis projects from initial request to presenting data results ensuring that the project is completed within budget and on-time.

Qualifications


Bachelor’s degree in engineering, data analytics, or job-related discipline or equivalent experience
Job-related experience, 4 years
data gathering and preparation, feature engineering, development and testing
Proficiency with at least one commonly used programming language, such as PySpark, or Python and SQL


Master’s Degree or equivalent experience Job-related experience, 6 years
Foundry workflow development experience
Experience with data visualization tools like Power BI or Tableau
Experience with asset conditions and work management processes
Advanced skill in Microsoft Excel and PowerPoint
Experience collaborating, working on a team, teaching and/or mentoring junior colleagues
Proficiency in synthesizing complex information into clear insights and translating those insights into decisions and actions
Ability to clearly communicate complex technical details and insights to colleagues, stakeholders, and leadership
Proficiency with programming best practices, including documentation, version control (e.g., Git or equivalent), unit testing, etc.
Proficiency in relevant programming languages and techniques, such as Python, object-oriented programing, SQL etc.
Strong knowledge of base-SAS and programming language such as Visual Basic, Perl, C
Strong organizational, prioritization and multi-tasking skills
Strong problem-solving skills
Influence skills",4.0,"PG&E Corporation
4.0","Oakland, CA",10000+ Employees,1905.0,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD)
551,Senior Data Scientist,$130K - $186K (Glassdoor est.),"Changeis, Inc. is an award-winning 8(a) certified, woman-owned small business that provides management consulting and engineering services to the public sector. Changeis' work has resulted in the successful execution of numerous programmatic initiatives, development of acquisition-sensitive deliverables, and establishment of a variety of long-term innovative strategic priorities for its customers. Changeis focuses on delivering unparalleled expertise in the areas of strategy and transformation management, investment analysis and acquisition management, governance, and innovation management. Inc. magazine has ranked the management consulting firm, Changeis Inc., among the top 1000 firms on its 35th annual Inc. 5000, the most prestigious ranking of the nation's fastest-growing private companies. Changeis offers a full benefit package that includes medical, dental, and vision, short and long term disability, retirement plan with immediate vesting and company match, and a generous annual leave plan.
Senior Data Scientist",4.5,"Changeis
4.5","Arlington, VA",51 to 200 Employees,2008.0,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
552,Data Scientist Sr,$101K - $132K (Glassdoor est.),"Primary Location US-IL-LIBERTYVILLE

JOB SUMMARY
Design, develop and program methods, processes, and systems to consolidate and analyze unstructured, diverse “big data” sources to generate actionable insights and solutions for client services and product enhancement.
Apply knowledge of statistics, machine learning, programming, data modeling, simulation, and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries.
Produce innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets.",3.6,"Medline Industries Inc
3.6","Libertyville, IL",10000+ Employees,1966.0,Company - Private,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
553,Senior Data Scientist,$119K - $159K (Glassdoor est.),"Do you want to build your brand by working for a leading consulting firm that drives eminence in the marketplace? Are you interested in leveraging your analytical skills and strategic ideas to improve mission execution? If so, Deloitte could be the place for you! Our Government and Public Services (GPS) Strategy and Analytics team brings deep industry expertise, rigorous analytical capabilities and a pragmatic mindset to help solve our client's most complex business problems. Join our team and play a key role in helping to design our clients' roadmap to the future and help transform the public sector marketplace.

Work You'll Do

In this role, the Data Scientist will work directly with our federal clients to define

strategy, drive technical development, and create the next generation of AI tools and

services that include state-of-the-art methodologies in computer vision, natural

language processing, time series analysis, preventative maintenance, signal processing,

and automation of analyst workflows.

The Data Scientist will:










SFL Scientific, a Deloitte Business, is a U.S. based, data science consulting firm

specializing in machine learning and AI technologies. We are looking for a senior data

scientist to design and build end-to-end AI solutions within Government & Public

Services (GPS). The candidate will be responsible for the development of AI systems

through leveraging large and complex data streams derived from the world's most

advanced aerospace, defense, intelligence, and energy systems.

Qualifications















#LI-EW1",4.0,"Deloitte
4.0","Boston, MA",10000+ Employees,1850.0,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD)
